id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39570383,Soprano Apartment Porto City Center - GuestSPA,8767890,Susana & Pedro,PORTO,Bonfim,41.14687,-8.60036,Entire home/apt,51,3,121,2024-03-17,2.36,36,354,44,62246/AL
45360335,"Cinema Luxury House, A/c Downtown Porto near Metro",92797951,Claudia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14715,-8.60668,Entire home/apt,43,1,219,2024-03-01,5.15,41,152,61,113325/AL
42321275,Porta 7,224377396,Ana,VILA NOVA DE GAIA,Canidelo,41.12807,-8.64647,Entire home/apt,71,2,11,2023-08-20,0.25,1,299,2,00000
46326761,GuestReady - Crayon Walls 2nd,364783572,GuestReady,PORTO,Bonfim,41.14714,-8.60007,Entire home/apt,80,1,208,2024-03-14,5.13,159,312,69,101196/AL
25250388,SunDelight - Relax and bright apartment on Porto,68874920,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16214,-8.60805,Entire home/apt,76,2,89,2024-02-21,1.26,5,279,20,72315/AL
569763503335086488,D&s - Porto São Bento Apartments Iii,37066714,Diogo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14408,-8.60882,Entire home/apt,45,1,71,2024-02-19,2.88,43,277,34,90864/AL
1079694802002050197,Bruval Premium Apartments - Serra do Pilar Gaia,59172246,Vitor,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.135875,-8.605782099999999,Entire home/apt,160,1,0,,,1,314,0,103538/AL
6660703,Ambiente Agradável/Nice Place,34862783,Elissandra,PORTO,Lordelo do Ouro e Massarelos,41.15281,-8.62998,Private room,31,1,492,2024-03-03,4.60,2,131,76,83789/AL
13927006,45 Rua das FLORES,82725318,César,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14384,-8.61398,Entire home/apt,68,2,241,2024-02-22,2.59,1,109,62,31795/AL
4238587,Stylishly Remodeled Walk-Up in the Lively City Center,16922131,YourOpo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14554,-8.61492,Entire home/apt,80,1,59,2024-01-16,0.51,92,346,1,24056/AL
53279911,Studio 2º Trás,363611395,Casa Do Recanto,PORTO,Lordelo do Ouro e Massarelos,41.1413,-8.62085,Entire home/apt,55,1,64,2024-01-01,2.26,5,332,28,133899/AL
51690693,FG Bossa Quarto Individual,250524263,Entre Amigos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15969,-8.60822,Private room,35,4,21,2023-10-22,0.70,33,91,6,93125/AL
37163586,Plaza 1.2 - Charming GuestHouse,279154968,Plaza,PORTO,Bonfim,41.14664,-8.59636,Entire home/apt,38,3,97,2024-02-22,1.74,7,343,34,100381/AL
19530603,The Blue and White Porto House - Árabe,137125921,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.156016,-8.60502,Entire home/apt,80,2,60,2023-09-02,0.74,4,197,4,257914/AL
49006399,Porto Historic Luxury House with A/c in Downtown,92797951,Claudia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14366,-8.6128,Entire home/apt,58,1,111,2024-03-14,3.36,41,156,56,113294/AL
41017850,Kate Homes Trindade Apartment - 3T,320143263,Provapédia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1544,-8.61049,Entire home/apt,51,3,17,2023-10-15,1.45,1,81,17,99159/AL
760793943186662467,Cimo de Vila 62 - RC by LovelyStay,487829164,Eliran,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14425,-8.60696,Entire home/apt,39,2,57,2024-03-11,4.25,5,223,52,133837/AL
731789868395707288,Pool | Online Check In | Kitchenette | MyStay,372064618,MyStay Porto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14859,-8.60358,Private room,56,1,8,2024-02-23,0.58,9,168,7,75641/AL
46452823,Porto - Northern Star - 1.2,375188093,Sousa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15082,-8.61237,Entire home/apt,49,2,220,2024-03-08,5.51,10,313,86,64829/AL
818197005871115167,"Novo, Vista panorâmica Rio Douro e Porto",261856387,Terrace,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13601856275984,-8.615138011406426,Entire home/apt,110,2,60,2024-03-11,4.46,3,244,58,127215/AL
