date, value
2016-10-13,52.0300
2016-10-14,51.9500
2016-10-17,51.5200
2016-10-18,51.6800
2016-10-19,52.6700
2016-10-20,51.3800
2016-10-21,51.7800
2016-10-24,51.4600
2016-10-25,50.7900
2016-10-26,49.9800
2016-10-27,50.4700
2016-10-28,49.7100
2016-10-31,48.3000
2016-11-01,48.1400
2016-11-02,46.8600
2016-11-03,46.3500
2016-11-04,45.5800
2016-11-07,46.1500
2016-11-08,46.0400
2016-11-09,46.3600
2016-11-10,45.8400
2016-11-11,44.7500
2016-11-14,44.4300
2016-11-15,46.9500
2016-11-16,46.6300
2016-11-17,46.4900
2016-11-18,46.8600
2016-11-21,48.9000
2016-11-22,49.1200
2016-11-23,48.9500
2016-11-24,49.0000
2016-11-25,47.2400
2016-11-28,48.2400
2016-11-29,46.3800
2016-11-30,50.4700
2016-12-01,53.9400
2016-12-02,54.4600
2016-12-05,54.9400
2016-12-06,53.9300
